00000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000 XF800000
0000001C 00011010010010100110011101110001 1A4A6771 4DD2533B
0000001D 00110100100101001100111011100011 3494CEE3 4E52533B
0000001E 01101001001010011001110111000110 69299DC6 4ED2533B
0000001D 00101101101011001100010001110100 D2533B8C CE36B311
0000001E 01011011010110011000100011100111 A4A67719 CEB6B311
0000001E 01001001010011001110111000110011 494CEE33 4E9299DC
0000001E 01101101011001100010001110011010 9299DC66 CEDACC47
0000001D 00100101001100111011100011001100 2533B8CC 4E14CEE3
0000001E 01001010011001110111000110011001 4A677199 4E94CEE3
0000001E 01101011001100010001110011001110 94CEE332 CED66239
0000001D 00101001100111011100011001100100 299DC664 4E267719
0000001E 01010011001110111000110011001000 533B8CC8 4EA67719
0000001E 01011001100010001110011001101111 A6771991 CEB311CC
0000001E 01001100111011100011001100100011 4CEE3323 4E99DC66
0000001E 01100110001000111001100110111001 99DC6647 CECC4733
0000001D 00110011101110001100110010001111 33B8CC8F 4E4EE332
0000001E 01100111011100011001100100011111 6771991F 4ECEE332
0000001D 00110001000111001100110111000001 CEE3323F CE447337
0000001E 01100010001110011001101110000010 9DC6647E CEC47337
0000001D 00111011100011001100100011111100 3B8CC8FC 4E6E3323
0000001E 01110111000110011001000111111000 771991F8 4EEE3323
0000001C 00010001110011001101110000010000 EE3323F0 CD8E66E0
0000001D 00100011100110011011100000100000 DC6647E0 CE0E66E0
0000001E 01000111001100110111000001000000 B8CC8FC0 CE8E66E0
0000001E 01110001100110010001111110000001 71991F81 4EE3323F
0000001C 00011100110011011100000011111101 E3323F03 CDE66E07
0000001D 00111001100110111000000111111010 C6647E06 CE666E07
0000001E 01110011001101110000001111110011 8CC8FC0D CEE66E07
0000001C 00011001100100011111100000011010 1991F81A 4DCC8FC0
0000001D 00110011001000111111000000110101 3323F035 4E4C8FC0
0000001E 01100110010001111110000001101010 6647E06A 4ECC8FC0
0000001D 00110011011100000011111100101011 CC8FC0D5 CE4DC0FC
0000001E 01100110111000000111111001010110 991F81AA CECDC0FC
0000001D 00110010001111110000001101010100 323F0354 4E48FC0D
0000001E 01100100011111100000011010101001 647E06A9 4EC8FC0D
0000001D 00110111000000111111001010101110 C8FC0D52 CE5C0FCA
0000001E 01101110000001111110010101011011 91F81AA5 CEDC0FCA
0000001D 00100011111100000011010101001011 23F0354B 4E0FC0D5
0000001E 01000111111000000110101010010111 47E06A97 4E8FC0D5
0000001E 01110000001111110010101011010001 8FC0D52F CEE07E55
0000001C 00011111100000011010101001011111 1F81AA5F 4DFC0D52
0000001D 00111111000000110101010010111110 3F0354BE 4E7C0D52
0000001E 01111110000001101010100101111101 7E06A97D 4EFC0D52
00000019 00000011111100101010110100000101 FC0D52FB CC7CAB41
0000001A 00000111111001010101101000001001 F81AA5F7 CCFCAB41
0000001B 00001111110010101011010000010001 F0354BEF CD7CAB41
0000001C 00011111100101010110100000100010 E06A97DE CDFCAB41
0000001D 00111111001010101101000001000011 C0D52FBD CE7CAB41
0000001E 01111110010101011010000010000110 81AA5F7A CEFCAB41
00000019 00000011010101001011111011110101 0354BEF5 4C552FBD
0000001A 00000110101010010111110111101011 06A97DEB 4CD52FBD
0000001B 00001101010100101111101111010111 0D52FBD7 4D552FBD
0000001C 00011010101001011111011110101110 1AA5F7AE 4DD52FBD
0000001D 00110101010010111110111101011100 354BEF5C 4E552FBD
0000001E 01101010100101111101111010111000 6A97DEB8 4ED52FBD
0000001D 00101010110100000100001010010000 D52FBD70 CE2B410A
0000001E 01010101101000001000010100100000 AA5F7AE0 CEAB410A
0000001E 01010100101111101111010111000001 54BEF5C1 4EA97DEB
0000001E 01010110100000100001010001111110 A97DEB82 CEAD0428
0000001E 01010010111110111101011100000101 52FBD705 4EA5F7AE
0000001E 01011010000010000101000111110110 A5F7AE0A CEB410A3
0000001E 01001011111011110101110000010101 4BEF5C15 4E97DEB8
0000001E 01101000001000010100011111010110 97DEB82A CED0428F
0000001D 00101111101111010111000001010100 2FBD7054 4E3EF5C1
0000001E 01011111011110101110000010101001 5F7AE0A9 4EBEF5C1
0000001E 01000001000010100011111010101110 BEF5C152 CE82147D
0000001E 01111101111010111000001010100101 7DEB82A5 4EFBD705
0000001A 00000100001010001111101010110110 FBD7054A CC851F56
0000001B 00001000010100011111010101101100 F7AE0A94 CD051F56
0000001C 00010000101000111110101011011000 EF5C1528 CD851F56
0000001D 00100001010001111101010110101111 DEB82A51 CE051F56
0000001E 01000010100011111010101101011101 BD7054A3 CE851F56
0000001E 01111010111000001010100101000110 7AE0A946 4EF5C152
0000001B 00001010001111101010110101110100 F5C1528C CD23EAD7
0000001C 00010100011111010101101011100111 EB82A519 CDA3EAD7
0000001D 00101000111110101011010111001110 D7054A32 CE23EAD7
0000001E 01010001111101010110101110011100 AE0A9464 CEA3EAD7
0000001E 01011100000101010010100011001001 5C1528C9 4EB82A51
0000001E 01000111110101011010111001101101 B82A5193 CE8FAB5C
0000001E 01110000010101001010001100100110 7054A326 4EE0A946
0000001C 00011111010101101011100110110011 E0A9464D CDFAB5CD
0000001D 00111110101011010111001101100101 C1528C9B CE7AB5CD
0000001E 01111101010110101110011011001001 82A51937 CEFAB5CD
0000001A 00000101010010100011001001101110 054A326E 4CA9464D
0000001B 00001010100101000110010011011101 0A9464DD 4D29464D
0000001C 00010101001010001100100110111011 1528C9BB 4DA9464D
0000001D 00101010010100011001001101110111 2A519377 4E29464D
0000001E 01010100101000110010011011101110 54A326EE 4EA9464D
0000001E 01010110101110011011001000100100 A9464DDC CEAD7364
0000001E 01010010100011001001101110111001 528C9BB9 4EA51937
0000001E 01011010111001101100100010001101 A5193773 CEB5CD91
0000001E 01001010001100100110111011100111 4A326EE7 4E9464DD
0000001E 01101011100110110010001000110001 9464DDCF CED73644
0000001D 00101000110010011011101110011110 28C9BB9E 4E2326EE
0000001E 01010001100100110111011100111101 5193773D 4EA326EE
0000001E 01011100110110010001000110000101 A326EE7B CEB9B223
0000001E 01000110010011011101110011110110 464DDCF6 4E8C9BB9
0000001E 01110011011001000100011000010011 8C9BB9ED CEE6C88C
0000001C 00011001001101110111001111011010 193773DA 4DC9BB9E
0000001D 00110010011011101110011110110100 326EE7B4 4E49BB9E
0000001E 01100100110111011100111101101001 64DDCF69 4EC9BB9E
0000001D 00110110010001000110000100101101 C9BB9ED3 CE591184
0000001E 01101100100010001100001001011010 93773DA6 CED91184
0000001D 00100110111011100111101101001101 26EE7B4D 4E1BB9ED
0000001E 01001101110111001111011010011010 4DDCF69A 4E9BB9ED
0000001E 01100100010001100001001011001011 9BB9ED35 CEC88C25
0000001D 00110111011100111101101001101011 3773DA6B 4E5DCF69
0000001E 01101110111001111011010011010111 6EE7B4D7 4EDDCF69
0000001D 00100010001100001001011001010001 DDCF69AF CE08C259
0000001E 01000100011000010010110010100001 BB9ED35F CE88C259
0000001E 01110111001111011010011010111111 773DA6BF 4EEE7B4D
0000001C 00010001100001001011001010000001 EE7B4D7F CD8C2594
0000001D 00100011000010010110010100000010 DCF69AFE CE0C2594
0000001E 01000110000100101100101000000011 B9ED35FD CE8C2594
0000001E 01110011110110100110101111111011 73DA6BFB 4EE7B4D7
0000001C 00011000010010110010100000001010 E7B4D7F6 CDC25940
0000001D 00110000100101100101000000010011 CF69AFED CE425940
0000001E 01100001001011001010000000100101 9ED35FDB CEC25940
0000001D 00111101101001101011111110110111 3DA6BFB7 4E769AFE
0000001E 01111011010011010111111101101111 7B4D7F6F 4EF69AFE
0000001B 00001001011001010000000100100010 F69AFEDE CD165012
0000001C 00010010110010100000001001000100 ED35FDBC CD965012
0000001D 00100101100101000000010010001000 DA6BFB78 CE165012
0000001E 01001011001010000000100100010000 B4D7F6F0 CE965012
0000001E 01101001101011111110110111100001 69AFEDE1 4ED35FDB
0000001D 00101100101000000010010000111110 D35FDBC2 CE328090
0000001E 01011001010000000100100001111100 A6BFB784 CEB28090
0000001E 01001101011111110110111100001000 4D7F6F08 4E9AFEDE
0000001E 01100101000000010010000111101111 9AFEDE11 CECA0243
0000001D 00110101111111011011110000100011 35FDBC23 4E57F6F0
0000001E 01101011111110110111100001000111 6BFB7847 4ED7F6F0
0000001D 00101000000010010000111101110001 D7F6F08F CE20243D
0000001E 01010000000100100001111011100010 AFEDE11E CEA0243D
0000001E 01011111110110111100001000111101 5FDBC23D 4EBFB784
0000001E 01000000010010000111101110000101 BFB7847B CE8090F7
0000001E 01111111011011110000100011110110 7F6F08F6 4EFEDE11
00000018 00000001001000011110111000010100 FEDE11EC CB90F70A
00000019 00000010010000111101110000100111 FDBC23D9 CC10F709
0000001A 00000100100001111011100001001101 FB7847B3 CC90F709
0000001B 00001001000011110111000010011010 F6F08F66 CD10F709
0000001C 00010010000111101110000100110011 EDE11ECD CD90F709
0000001D 00100100001111011100001001100101 DBC23D9B CE10F709
0000001E 01001000011110111000010011001001 B7847B37 CE90F709
0000001E 01101111000010001111011001101111 6F08F66F 4EDE11EC
0000001D 00100001111011100001001100100010 DE11ECDE CE07B84C
0000001E 01000011110111000010011001000100 BC23D9BC CE87B84C
0000001E 01111000010001111011001101111000 7847B378 4EF08F66
0000001B 00001111011100001001100100010000 F08F66F0 CD770991
0000001C 00011110111000010011001000011111 E11ECDE1 CDF70990
0000001D 00111101110000100110010000111110 C23D9BC2 CE770990
0000001E 01111011100001001100100001111011 847B3785 CEF70990
0000001B 00001000111101100110111100001011 08F66F0B 4D0F66F0
0000001C 00010001111011001101111000010111 11ECDE17 4D8F66F0
0000001D 00100011110110011011110000101111 23D9BC2F 4E0F66F0
0000001E 01000111101100110111100001011110 47B3785E 4E8F66F0
0000001E 01110000100110010000111101000100 8F66F0BC CEE1321E
0000001C 00011110110011011110000101111000 1ECDE178 4DF66F0B
0000001D 00111101100110111100001011110000 3D9BC2F0 4E766F0B
0000001E 01111011001101111000010111100000 7B3785E0 4EF66F0B
0000001B 00001001100100001111010000111111 F66F0BC1 CD190F43
0000001C 00010011001000011110100001111101 ECDE1783 CD990F43
0000001D 00100110010000111101000011111001 D9BC2F07 CE190F43
0000001E 01001100100001111010000111110010 B3785E0E CE990F43
0000001E 01100110111100001011110000011101 66F0BC1D 4ECDE178
0000001D 00110010000111101000011111000110 CDE1783A CE487A1F
0000001E 01100100001111010000111110001011 9BC2F075 CEC87A1F
0000001D 00110111100001011110000011101010 3785E0EA 4E5E1783
0000001E 01101111000010111100000111010101 6F0BC1D5 4EDE1783
0000001D 00100001111010000111110001010101 DE1783AB CE07A1F1
0000001E 01000011110100001111100010101001 BC2F0757 CE87A1F1
0000001E 01111000010111100000111010101110 785E0EAE 4EF0BC1D
0000001B 00001111010000111110001010100011 F0BC1D5D CD743E2A
0000001C 00011110100001111100010101000101 E1783ABB CDF43E2A
0000001D 00111101000011111000101010001010 C2F07576 CE743E2A
0000001E 01111010000111110001010100010011 85E0EAED CEF43E2A
0000001B 00001011110000011101010111011011 0BC1D5DB 4D3C1D5D
0000001C 00010111100000111010101110110110 1783ABB6 4DBC1D5D
0000001D 00101111000001110101011101101101 2F07576D 4E3C1D5D
0000001E 01011110000011101010111011011011 5E0EAEDB 4EBC1D5D
0000001E 01000011111000101010001001001010 BC1D5DB6 CE87C544
0000001E 01111000001110101011101101101100 783ABB6C 4EF07576
0000001B 00001111100010101000100100100111 F07576D9 CD78A892
0000001C 00011111000101010001001001001101 E0EAEDB3 CDF8A892
0000001D 00111110001010100010010010011010 C1D5DB66 CE78A892
0000001E 01111100010101000100100100110100 83ABB6CC CEF8A892
0000001A 00000111010101110110110110011000 07576D98 4CEAEDB3
0000001B 00001110101011101101101100110000 0EAEDB30 4D6AEDB3
0000001C 00011101010111011011011001100001 1D5DB661 4DEAEDB3
0000001D 00111010101110110110110011000011 3ABB6CC3 4E6AEDB3
0000001E 01110101011101101101100110000111 7576D987 4EEAEDB3
0000001C 00010101000100100100110011110001 EAEDB30F CDA89267
0000001D 00101010001001001001100111100010 D5DB661E CE289267
0000001E 01010100010010010011001111000100 ABB6CC3C CEA89267
0000001E 01010111011011011001100001111000 576D9878 4EAEDB30
0000001E 01010001001001001100111100001111 AEDB30F1 CEA2499E
